short reference,DOI,authors,title,journal,year
"HAASE, 2011",https://doi.org/10.1029/2010gc003482,"HAASE, K M; REGELOUS, M; DUNCAN, R A; BRANDL, P A; STRONCIK, N; GREVEMEYER, I",INSIGHTS INTO MANTLE COMPOSITION AND MANTLE MELTING BENEATH MID-OCEAN RIDGES FROM POSTSPREADING VOLCANISM ON THE FOSSIL GALAPAGOS RISE,GEOCHEM GEOPHYS GEOSYST,2011
"SCHMIDBERGER, 2002",https://doi.org/10.1016/S0012-821X(02)00491-0,"SCHMIDBERGER, S; SIMONETTI, A; FRANCIS, D; GARIEPY, C","PROBING ARCHEAN LITHOSPHERE USING Lu-Hf ISOTOPE SYSTEMATICS OF PERIDOTITE XENOLITHS FROM SOMERSET ISLAND KIMBERLITES, CANADA",EARTH PLANET SCI LETT,2002
"RAY, 2013",https://doi.org/10.1016/j.jseaes.2013.03.008,"RAY, D; MISRA, S; BANERJEE, R","GEOCHEMICAL VARIABILITY OF MORBS ALONG SLOW TO INTERMEDIATE SPREADING CARLSBERG-CENTRAL INDIAN RIDGE, INDIAN OCEAN",J ASIAN EARTH SCI,2013
"KAY, 1970",https://doi.org/10.1029/JB075i008p01585,"KAY, R; HUBBARD, N J; GAST, P W",CHEMICAL CHARACTERISTICS AND ORIGIN OF OCEANIC RIDGE VOLCANIC ROCKS,J GEOPHYS RES,1970
"PAQUET, 2016",https://doi.org/10.1002/2016gc006385,"PAQUET, M; CANNAT, M; BRUNELLI, D; HAMELIN, C; HUMLER, E",EFFECT OF MELT/MANTLE INTERACTIONS ON MORB CHEMISTRY AT THE EASTERNMOST SOUTHWEST INDIAN RIDGE (61 TO 67°E),GEOCHEM GEOPHYS GEOSYST,2016
"THANH, 2014",https://doi.org/10.1016/j.jseaes.2014.04.001,"THANH, N X; HAI, T T; HOANG, N; LAN, V Q; KWON, S; ITAYA, T; SANTOSH, M",BACKARC MAFIC-ULTRAMAFIC MAGMATISM IN NORTHEASTERN VIETNAM AND ITS REGIONAL TECTONIC SIGNIFICANCE,J ASIAN EARTH SCI,2014
"SCHIAVI, 2015",https://doi.org/10.1002/2015gc005786,"SCHIAVI, F; ROSCIGLIONE, A; KITAGAWA, H; KOBAYASHI, K; NAKAMURA, E; NUCCIO, P; OTTOLINI, L; PAONITA, A; VANNUCCI, R",GEOCHEMICAL HETEROGENEITIES IN MAGMA BENEATH MOUNT ETNA RECORDED BY 2001-2006 MELT INCLUSIONS,"GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS",2015
"HUMPHRIS, 1985",https://doi.org/10.1016/0016-7037(85)90294-7,"HUMPHRIS, S E; THOMPSON, G; SCHILLING, J-G; KINGSLEY, R H",PETROLOGICAL AND GEOCHEMICAL VARIATIONS ALONG THE MID-ATLANTIC RIDGE BETWEEN 46 DEGREE S AND 32 DEGREE S: INFLUENCE OF THE TRISTAN DE CUNHA MANTLE PLUME,GEOCHIM COSMOCHIM ACTA,1985
"SCHUTH, 2009",https://doi.org/10.1093/petrology/egp019,"SCHUTH, S; MUENKER, C; KOENIG, S; QOPOTO, C; BASI, S; GARBE-SCHÖNBERG, D; BALLHAUS, C","PETROGENESIS OF LAVAS ALONG THE SOLOMON ISLAND ARC, SW PACIFIC: COUPLING OF COMPOSITIONAL VARIATIONS AND SUBDUCTION ZONE GEOMETRY",J PETROL,2009
"XU, 2008",https://doi.org/10.1016/j.epsl.2007.09.041,"XU, W-L; HERGT, J M; GAO, S; PEI, F-P; WEI, W; YANG, D-B",INTERACTION OF ADAKITIC MELT-PERIDOTITE: IMPLICATIONS FOR THE HIGH-MG# SIGNATURE OF MESOZOIC ADAKITIC ROCKS IN THE EASTERN NORTH CHINA CRATON,EARTH PLANET SCI LETT,2008
"XU, 2008",https://doi.org/10.1016/j.lithos.2007.04.005,"XU, Y-G; BLUSZTAJN, J; MA, J-L; LIU, J-F; HART, S R",LATE ARCHEAN TO EARLY PROTEROZOIC LITHOSPHERIC MANTLE BENEATH THE WESTERN NORTH CHINA CRATON: Sr-Nd-Os ISOTOPES OF PERIDOTITE XENOLITHS FROM YANGYUAN AND FANSI,LITHOS,2008
"XU, 2008",https://doi.org/10.1016/j.lithos.2007.06.010,"XU, X; GRIFFIN, W L; OREILLY, S Y; PEARSON, N J; GENG, H; ZHENG, J P",Re-Os ISOTOPES OF SULFIDES IN MANTLE XENOLITHS FROM EASTERN CHINA: PROGRESSIVE MODIFICATION OF LITHOSPHERIC MANTLE,LITHOS,2008
"STERN, 2006",https://doi.org/10.1007/s00410-005-0055-2,"STERN, R J; KOHUT, E J; BLOOMER, S H; LEYBOURNE, M I; FOUCH, M; VERVOORT, J","SUBDUCTION FACTORY PROCESSES BENEATH THE GUGUAN CROSS-CHAIN, MARIANA  ARC: NO ROLE FOR SEDIMENTS, ARE SERPENTINITES IMPORTANT?",CONTRIB MINERAL PETROL,2006
"CLASS, 2011",https://doi.org/10.1016/j.epsl.2011.02.036,"CLASS, C; LE ROEX, A P",SOUTH ATLANTIC DUPAL ANOMALY — DYNAMIC AND COMPOSITIONAL EVIDENCE AGAINST A RECENT SHALLOW ORIGIN,EARTH PLANET SCI LETT,2011
"ZHANG, 2018",https://doi.org/10.1016/j.chemgeo.2018.01.006,"ZHANG, H-L; COTTRELL, E; SOLHEID, P; KELLEY, K A; HIRSCHMANN, M",DETERMINATION OF FE 3+ /ΣFE OF XANES BASALTIC GLASS STANDARDS BY MÖSSBAUER SPECTROSCOPY AND ITS APPLICATION TO THE OXIDATION STATE OF IRON IN MORB,CHEMICAL GEOLOGY,2018
